Data,Instituição,Valor
05/07/2024,Iron Bank,100.00
05/07/2024,Republic Bank,500.00
05/07/2024,TMW Bank,1000.00
05/08/2024,Iron Bank,250.00
05/08/2024,Republic Bank,600.00
05/08/2024,TMW Bank,1500.00
05/09/2024,Death Star,600.00
05/09/2024,Iron Bank,750.00
05/09/2024,Republic Bank,1000.00
05/09/2024,TMW Bank,2000.00
05/10/2024,Death Star,50.00
05/10/2024,Iron Bank,500.00
05/10/2024,Republic Bank,750.00
05/10/2024,TMW Bank,1750.00
05/11/2024,Death Star,75.00
05/11/2024,Iron Bank,500.00
05/11/2024,Republic Bank,800.00
05/11/2024,TMW Bank,1800.00
05/12/2024,Death Star,100.00
05/12/2024,Iron Bank,750.00
05/12/2024,Republic Bank,1000.00
05/12/2024,TMW Bank,2000.00
05/01/2025,Death Star,250.00
05/01/2025,Iron Bank,1450.00
05/01/2025,Republic Bank,1000.00
05/01/2025,TMW Bank,2540.00
05/02/2025,Death Star,200.00
05/02/2025,Iron Bank,1200.00
05/02/2025,Republic Bank,2400.00
05/02/2025,TMW Bank,2740.00
05/03/2025,Death Star,0.00
05/03/2025,Iron Bank,1000.00
05/03/2025,Republic Bank,2750.00
05/03/2025,TMW Bank,2740.00
05/04/2025,Death Star,500.00
05/04/2025,Iron Bank,2000.00
05/04/2025,Republic Bank,1250.00
05/04/2025,TMW Bank,3000.00
05/05/2025,Death Star,1250.00
05/05/2025,Iron Bank,2100.00
05/05/2025,Republic Bank,1500.00
05/05/2025,TMW Bank,3100.00
05/06/2025,Death Star,1600.00
05/06/2025,Iron Bank,2100.00
05/06/2025,Republic Bank,1600.00
05/06/2025,TMW Bank,3300.00
05/07/2025,Death Star,1750.00
05/07/2025,Iron Bank,2200.00
05/07/2025,Republic Bank,1750.00
05/07/2025,TMW Bank,3300.00
